geo_id,geoname_id,name,latitude,longitude,continent,status
94,723030,Abony,47.1899,20.00476,Europe/Budapest,0
95,2509031,Abou el Hassan,36.41657,1.19616,Africa/Algiers,0
96,617026,Abovyan,40.26741,44.62656,Asia/Yerevan,0
97,107312,Abqaiq,25.9371,49.67761,Asia/Riyadh,0
98,3408404,Abreu e Lima,-7.91167,-34.90278,America/Recife,0
99,3569741,Abreus,22.2775,-80.5675,America/Havana,0
100,1279396,Abu,24.59365,72.71756,Asia/Kolkata,0
101,110619,Abu `Arish,16.96887,42.83251,Asia/Riyadh,0
102,362882,Abu al Matamir,30.91018,30.17438,Africa/Cairo,0
103,292968,Abu Dhabi,24.46667,54.36667,Asia/Dubai,0
104,100077,Abu Ghurayb,33.30563,44.18477,Asia/Baghdad,0
105,380757,Abu Jibeha,11.4562,31.2285,Africa/Khartoum,0
106,362485,Abu Kabir,30.72508,31.67148,Africa/Cairo,0
107,362277,Abu Qurqas,27.9312,30.83841,Africa/Cairo,0
108,1279394,Abu Road,24.48012,72.78186,Asia/Kolkata,0
109,362004,Abu Tij,27.04411,31.31897,Africa/Cairo,0
110,380348,Abu Zabad,12.35,29.25,Africa/Khartoum,0
111,1732354,Abucay,14.73347,120.53358,Asia/Manila,0
112,2352778,Abuja,9.05785,7.49508,Africa/Lagos,0
113,2306119,Aburi,5.84802,-0.17449,Africa/Accra,0
114,1732312,Abuyog,10.747,125.0107,Asia/Manila,0
115,144794,Abyek,36.06667,50.55,Asia/Tehran,0
116,3690577,Acacias,3.98695,-73.75797,America/Bogota,0
117,3533486,Acajete,19.10412,-97.95104,America/Mexico_City,0
118,3587498,Acajutla,13.59278,-89.8275,America/El_Salvador,0
119,4019827,Acambaro,20.03024,-100.72249,America/Mexico_City,0
120,4019819,Acaponeta,22.49396,-105.36369,America/Mazatlan,0
121,3533462,Acapulco de Juarez,16.86336,-99.8901,America/Mexico_City,0
122,3408368,Acarau,-2.88556,-40.12,America/Fortaleza,0
123,3649833,Acarigua,9.55451,-69.19564,America/Caracas,0
124,3533440,Acatlan de Osorio,18.2025,-98.04864,America/Mexico_City,0
125,3533433,Acatzingo de Hidalgo,18.98036,-97.78473,America/Mexico_City,0
126,3533426,Acayucan,17.94885,-94.91399,America/Mexico_City,0
127,2306104,Accra,5.55602,-0.1969,Africa/Accra,0
128,2657770,Accrington,53.75379,-2.35863,Europe/London,0
129,3183541,Acerra,40.94477,14.3714,Europe/Rome,0
130,1279390,Achalpur,21.25665,77.51006,Asia/Kolkata,0
131,265488,Acharnes,38.08333,23.73333,Europe/Athens,0
132,2038679,Acheng,45.54545,126.97703,Asia/Shanghai,0
133,3038712,Acheres,48.96115,2.06882,Europe/Paris,0
134,2959686,Achern,48.63115,8.07607,Europe/Berlin,0
135,1279382,Achhnera,27.17826,77.75674,Asia/Kolkata,0
136,2306079,Achiaman,5.7,-0.33333,Africa/Accra,0
137,2959681,Achim,53.01416,9.0263,Europe/Berlin,0
138,1512165,Achinsk,56.2694,90.4993,Asia/Krasnoyarsk,0
139,584298,Achkhoy-Martan,43.18997,45.28373,Europe/Moscow,0
140,2525792,Aci Castello,37.55564,15.14535,Europe/Rome,0
141,2525791,Aci Catena,37.60614,15.14165,Europe/Rome,0
142,3183539,Acilia-Castel Fusano-Ostia Antica,41.76337,12.33078,Europe/Rome,0
143,2525790,Acireale,37.60886,15.16577,Europe/Rome,0
144,2657703,Acocks Green,52.45,-1.81667,Europe/London,0
145,3408343,Acopiara,-6.09528,-39.4525,America/Fortaleza,0
146,3183494,Acquaviva delle Fonti,40.89704,16.8433,Europe/Rome,0
147,3183490,Acqui Terme,44.67552,8.46934,Europe/Rome,0
148,2657697,Acton,51.50901,-0.2762,Europe/London,0
149,4928703,Acton,42.48509,-71.43284,America/New_York,0
150,3533389,Actopan,20.26961,-98.94377,America/Mexico_City,0
151,3408337,Acu,-5.57667,-36.90861,America/Fortaleza,0
152,4179074,Acworth,34.06635,-84.67837,America/New_York,0
153,174259,Ad Dana,36.21252,36.76978,Asia/Damascus,0
154,170887,Ad Darbasiyah,37.07279,40.65199,Asia/Damascus,0
155,285856,Ad Dasmah,29.365,48.00139,Asia/Kuwait,0
156,110325,Ad Dawadimi,24.50772,44.39237,Asia/Riyadh,0
157,110314,Ad Dilam,23.99104,47.16181,Asia/Riyadh,0
158,361827,Ad Dilinjat,30.82791,30.53633,Africa/Cairo,0
159,380151,Ad Dindar,13.2,34.16667,Africa/Khartoum,0
160,99762,Ad Diwaniyah,31.99289,44.92552,Asia/Baghdad,1
161,380129,Ad Douiem,14.0012,32.3116,Africa/Khartoum,0
162,99759,Ad Dujayl,33.84667,44.23444,Asia/Baghdad,0
163,380174,Ad-Damazin,11.7891,34.3592,Africa/Khartoum,0
164,4529096,Ada,34.77453,-96.67834,America/Chicago,0
165,289433,Adam,22.3756,57.52334,Asia/Muscat,0
166,3473157,Adamantina,-21.68528,-51.0725,America/Sao_Paulo,0
167,1462733,Adampur,31.43224,75.71484,Asia/Kolkata,0
168,4030723,Adamstown,-25.06597,-130.10147,Pacific/Pitcairn,0
169,325363,Adana,37.00167,35.32889,Europe/Istanbul,0
170,752850,Adapazari,40.78056,30.40333,Europe/Istanbul,0
171,1279356,Addanki,15.80994,79.97311,Asia/Kolkata,0
172,345353,Addiet Canna,11.26667,37.48333,Africa/Addis_Ababa,0
173,344979,Addis Ababa,9.02497,38.74689,Africa/Addis_Ababa,0
174,4882920,Addison,41.9317,-87.98896,America/Chicago,0
175,2522437,Adeje,28.12271,-16.726,Atlantic/Canary,0
176,2078025,Adelaide,-34.92866,138.59863,Australia/Adelaide,0
177,7302628,Adelaide Hills,-34.91119,138.70735,Australia/Adelaide,0
178,5322400,Adelanto,34.58277,-117.40922,America/Los_Angeles,0
179,3183472,Adelfia,41.0033,16.87208,Europe/Rome,0
180,4346991,Adelphi,39.00317,-76.97192,America/New_York,0
181,415189,Aden,12.77944,45.03667,Asia/Aden,0
182,292953,Adh Dhayd,25.28812,55.88157,Asia/Dubai,0
183,2293428,Adiake,5.28634,-3.30403,Africa/Abidjan,0
184,345149,Adigrat,14.277,39.462,Africa/Addis_Ababa,0
185,1279344,Adilabad,19.67203,78.5359,Asia/Kolkata,0
186,325336,Adilcevaz,38.79911,42.73159,Europe/Istanbul,0
187,1278204,Adirampattinam,10.34059,79.37905,Asia/Kolkata,0
188,344923,Adis Zemen,12.11667,37.78333,Africa/Addis_Ababa,0
189,1651887,Adiwerna,-6.9375,109.1325,Asia/Jakarta,0
190,325330,Adiyaman,37.76441,38.27629,Europe/Istanbul,0
191,686669,Adjud,46.1,27.16667,Europe/Bucharest,0
192,235489,Adjumani,3.37786,31.7909,Africa/Kampala,0
193,584243,Adler,43.42896,39.92391,Europe/Moscow,0
194,2959441,Adlershof,52.43548,13.54825,Europe/Berlin,0
195,2661861,Adliswil,47.30997,8.52462,Europe/Zurich,0
196,8504953,Admiralteisky,59.90839,30.28484,Europe/Moscow,0
197,2352356,Ado Odo,6.6,2.93333,Africa/Lagos,0
198,2352379,Ado-Ekiti,7.62329,5.22087,Africa/Lagos,0
199,1279335,Adoni,15.62509,77.27536,Asia/Kolkata,0
200,2522430,Adra,36.74961,-3.02055,Europe/Madrid,0
